,SJHBBBM4X52,SJHBBBM4JQZ,SJHBBBM5SGJ,SJHBBBM5TXY,SJHBBBM2GV5,SJHBBBM39BT,SJHBBBM67H6,SJHBBBM2BBR,SJHBBBN9RBJ,SJHBBBM4PX3,SJHBBBN9RDM,SJHBBBN9R9H,SJHBBBM588V,SJHBBBN9RFN,SJHBBBM55F5,SJHBBBM5GW9,SJHBBBM5PY5,SJHBBBM52XR,SJHBBBM5YWS
ENSG00000155495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000046774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179542,2,0,1,2,6,3,10,5,1728,2,0,1,734,2903,0,3,1,1,0
ENSG00000268988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000102081,4729,8628,4540,8286,4587,3671,14410,14496,5168,6779,8547,4684,1921,2172,2366,4447,4321,3159,3237
ENSG00000176988,0,2,2,7,0,1,4,0,1,0,3,1,0,2,0,0,2,0,0
ENSG00000155966,242,314,60,327,457,176,482,624,157,270,201,65,102,685,43,652,98,34,15
ENSG00000287585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000010404,5088,5610,3485,5391,3149,2201,8114,10120,5204,3435,6443,5153,2281,2046,3229,5771,3712,2443,3346
ENSG00000241489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269556,381,641,358,671,840,364,1065,1304,326,390,591,560,224,272,358,830,414,292,76
ENSG00000185247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171116,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000123584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000156009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000013619,881,1091,744,261,2963,490,1750,1328,1376,1238,568,331,257,1102,386,556,379,43,51
ENSG00000171100,1822,3398,1924,3348,3013,1837,3246,5725,2083,1938,2250,2058,852,910,1482,2215,1620,1147,548
ENSG00000063601,3471,9513,3313,5864,4979,4184,8889,16884,4113,4532,5857,5059,2393,2377,4001,9227,3494,3330,1469
ENSG00000102181,1364,3449,2147,1836,4606,2226,2625,6438,1101,2057,1518,1738,881,1262,1925,2918,1017,797,293
ENSG00000029993,2016,5163,2072,7419,9292,5730,9373,13212,3729,5428,5713,5157,2004,3446,2861,5163,3702,1680,1711
ENSG00000102195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000160131,2699,5235,2524,8457,2919,3067,7918,9862,4079,3471,6910,3742,1735,1320,2461,2451,4245,2054,1518
ENSG00000166049,13,66,0,52,39,64,0,10,1,20,2,0,1,1,2,2,0,0,0
ENSG00000130032,0,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147378,261,1141,0,56,707,2258,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183862,6,52,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000102287,44,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000124260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011677,3,3,0,114,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000268089,260,29,0,7,1128,1752,0,0,0,0,0,0,0,0,0,0,0,6,1
ENSG00000221867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197172,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000147400,849,1706,590,1033,1547,1115,1656,3107,858,1161,908,1116,587,743,763,1584,850,551,194
ENSG00000147383,529,864,452,615,1001,469,752,2227,344,627,405,598,304,489,513,848,311,385,124
ENSG00000147394,155,2004,51,1534,470,442,2991,8493,517,71,862,3468,1396,1964,473,219,2469,1998,111
ENSG00000198883,1,0,1,3,8,0,5,16,0,0,0,2,4,3,0,1,6,297,3
ENSG00000183837,414,456,209,782,774,442,460,266,130,83,120,46,66,62,16,27,56,712,100
ENSG00000235961,5,2,7,0,0,6,0,0,7,0,0,0,0,0,0,0,0,19,2
ENSG00000198681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000063587,3251,5317,2943,6329,4436,3180,7494,5795,1314,648,2984,1297,623,409,391,1576,757,1155,522
ENSG00000214897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189420,71,48,19,10,4,116,10,362,57,3,13,37,7,6,1,27,11,28,0
ENSG00000183479,66,76,43,107,46,84,67,205,50,43,47,58,35,36,24,123,28,43,13
ENSG00000213397,95,133,41,209,125,72,328,312,166,112,152,178,80,74,118,164,105,94,71
ENSG00000182492,31,75,9,5,74,31,167,3,5,2,17,64,71,139,40,28,79,19,4
ENSG00000067842,4,1,0,12,1,6,2,6,0,0,2,0,2,0,1,3,2,0,1
ENSG00000262919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130829,1,0,1,1,1,2,0,5,2,0,1,3,1,1,0,2,0,1,1
ENSG00000130822,1,4,4,30,3,3,31,4,2,3,6,3,3,2,0,3,9,4,4
ENSG00000130821,629,158,69,251,739,191,611,292,208,99,411,1135,89,3114,105,443,549,1289,635
ENSG00000185825,4022,7354,3269,3348,9404,4205,7314,13921,4809,4628,3563,4895,2247,4380,3272,7314,2715,3803,1428
ENSG00000101986,1933,2202,1649,2494,2460,1353,2659,4134,1004,704,1420,2108,886,911,926,1985,1030,1277,251
ENSG00000198753,6,47,1,13,5,14,28,48,17,3,10,9,22,6,2,27,20,77,14
ENSG00000184343,0,3,3,11,1,3,0,3,1,0,1,0,0,0,1,0,2,4,0
ENSG00000067829,3776,6034,2187,7068,5691,3005,8087,8569,5044,2940,5187,5412,2152,3587,2226,4863,3511,3730,2007
ENSG00000180879,4125,6814,2883,8996,9425,4186,7467,10789,6348,3498,5582,6109,2162,5760,2613,8261,3490,6575,2616
ENSG00000067840,825,100,107,252,284,93,254,65,34,21,125,75,22,70,32,288,32,85,8
ENSG00000198910,30,42,8,43,23,21,41,37,17,4,23,18,8,15,16,41,12,18,12
ENSG00000284987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000126895,2,2,0,3,0,1,0,1,0,1,1,0,1,0,0,1,1,4,0
ENSG00000089820,29366,54417,20528,74922,67403,27937,63248,83268,26827,19036,38619,45443,20655,28353,20561,37928,29901,33262,13326
ENSG00000102030,1128,2672,1119,1660,3214,1413,1833,3441,1324,1079,983,1014,634,910,633,1579,674,1537,496
ENSG00000102032,1050,2578,1067,1068,2343,678,1378,3461,1079,587,856,1316,663,1031,541,1243,652,581,95
ENSG00000172534,13567,14638,16567,13828,29556,14673,21447,29861,11333,9159,12923,11422,4095,6699,5113,13238,8604,15094,12522
ENSG00000177854,268,725,225,342,853,370,217,1427,123,457,160,260,151,264,347,715,89,160,41
ENSG00000184216,7488,14396,5729,13107,14605,7872,17320,24593,11027,8139,17564,13048,4455,6575,6542,9970,9485,13494,9114
ENSG00000169057,8446,14037,7483,9655,11861,5685,13101,19850,7324,4501,9658,9139,3564,4415,4947,8666,6132,6136,2530
ENSG00000102076,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000268221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007350,103,17,49,16,16,10,33,22,7,10,41,42,8,22,4,107,26,5,41
ENSG00000196924,35103,24543,12479,16508,20886,10401,66975,95056,20899,17414,75972,43018,16583,16966,13185,41728,34591,26845,17971
ENSG00000102119,2761,3631,1942,6226,4229,2387,6969,6109,5000,2518,5482,5678,1541,3743,1685,3643,3738,3298,3965
ENSG00000013563,2561,3138,2986,3205,4198,1766,2584,4324,2881,1768,3402,2411,1035,1382,1672,3291,1372,1448,537
ENSG00000102125,6108,8430,4713,7126,10923,4897,9656,12642,4460,4451,5349,5831,2462,3817,3647,7598,3642,4299,1005
ENSG00000071553,6542,10211,4899,7852,11485,5911,9826,14795,5832,4510,8623,7451,3558,5310,4144,9840,4968,3825,1431
ENSG00000203879,14050,26462,9365,20501,34702,12218,24753,26595,13235,9729,15931,13317,5970,9076,7068,16398,8291,10204,5128
ENSG00000071859,3643,4878,1866,3835,7576,3064,4285,7295,2750,2567,3127,3635,1855,2806,1914,3892,2126,1397,589
ENSG00000130827,10282,21394,3684,8088,17808,7246,13535,13499,5806,4211,5355,4032,2563,2590,3167,9069,2587,5697,1826
ENSG00000196976,526,669,401,424,1527,677,1055,2286,509,597,356,669,415,700,463,754,350,445,102
ENSG00000102178,1245,2620,1153,843,3136,1874,1158,5082,559,1478,408,620,519,836,945,2168,395,677,312
ENSG00000126903,863,1454,822,983,1276,735,1166,1771,569,607,1059,838,275,663,614,1386,590,438,612
ENSG00000071889,1995,3281,1576,2652,4310,1846,3363,4870,1798,1474,2448,2208,1079,1730,1415,3002,1454,2032,548
ENSG00000160211,4963,7972,3192,4741,11949,5197,5058,13275,2591,3743,2142,5195,3050,3369,2827,4914,2428,2741,708
ENSG00000269335,753,1549,717,1054,1425,989,1192,2563,611,759,1220,934,513,636,538,1234,621,538,142
ENSG00000268651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000184033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000126890,1,0,0,1,0,0,0,0,0,0,3,2,1,1,2,0,0,0,1
ENSG00000160219,3922,6550,1542,3507,5145,2614,5943,11443,4291,3964,3011,5305,1377,3040,2395,4577,2805,2497,864
ENSG00000130826,5792,8216,5047,8266,10453,5840,9683,20442,6379,7367,9092,7209,2505,4241,5021,6982,5424,8372,5395
ENSG00000130830,12599,30433,5438,17148,13808,15777,19686,57495,12190,18115,10036,20628,7354,18936,9015,19968,8226,4098,1751
ENSG00000203870,0,0,0,1,0,0,2,5,14,7,7,2,2,2,1,1,5,3,0
ENSG00000185010,134,114,53,126,85,86,164,342,142,52,102,141,92,41,111,65,90,145,42
ENSG00000274183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277203,1108,813,415,1385,1351,1014,1328,3957,998,1122,1727,1309,619,985,503,927,1026,276,166
ENSG00000165775,2684,2730,1583,3992,3517,1795,4116,5450,3297,1931,2570,3286,1465,2530,1380,2656,2316,2644,1405
ENSG00000288258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214827,55,146,69,111,85,67,77,135,44,66,179,80,34,25,43,61,65,35,40
ENSG00000185515,1791,2561,1763,2044,1976,1520,2040,5589,1000,2013,1418,1373,692,905,1376,1739,1021,1186,269
ENSG00000155959,1963,3440,1551,2126,2725,2039,2597,7629,1908,3271,1865,2492,1109,1872,1996,2807,1546,1206,859
ENSG00000155961,225,411,361,84,581,195,242,809,177,173,587,221,119,38,505,1083,241,219,63
ENSG00000155962,377,279,52,542,355,174,266,207,97,8,278,232,28,268,57,70,141,177,113
ENSG00000277858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274791,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
ENSG00000277150,3,22,7,33,26,10,19,26,14,6,14,16,8,7,10,11,11,7,1
ENSG00000277745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185973,1403,2839,1211,1492,2811,1587,1261,2400,776,861,777,860,527,744,775,1399,572,753,191
ENSG00000168939,2,4,0,1,3,2,5,3,2,1,2,3,1,0,1,5,2,0,0
ENSG00000124333,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000172748,288,378,354,289,775,455,390,1150,174,334,407,210,150,129,405,488,232,336,103
ENSG00000147364,1404,1785,1031,914,2246,1432,1700,2286,485,813,1026,594,301,213,382,889,770,1087,410
ENSG00000180190,52,62,43,9,23,9,18,3,4,0,1,6,0,0,0,0,1,0,0
ENSG00000104714,4322,4795,6647,3122,10005,4023,3138,6282,1725,1533,2074,2753,1154,2008,1947,2381,1265,2293,1538
ENSG00000198010,932,915,1717,1006,864,609,357,886,83,71,69,245,72,126,197,111,28,4,10
ENSG00000182372,3202,2770,999,2555,11196,5714,3517,5457,794,817,2094,2002,1142,731,5071,8707,1188,2570,948
ENSG00000283239,13,16,3,3,46,18,40,51,32,18,9,12,5,24,15,26,8,15,6
ENSG00000104728,2964,486,1266,538,1557,2947,5813,4814,2047,2522,4502,2523,2195,2399,5016,6354,1826,955,1870
ENSG00000176595,1184,1983,195,280,2119,2301,4252,18516,1860,2558,1770,2403,1094,1310,7307,4505,1301,1227,447
ENSG00000036448,556,245,369,209,198,212,114,370,45,48,44,56,37,60,172,607,34,301,7
ENSG00000183117,239,185,39,278,1494,11,0,94,1,0,0,0,84,0,38,2,0,0,10073
ENSG00000147316,1723,1612,1352,3845,2469,1835,2467,2408,1202,753,2393,2334,899,1213,1101,1214,1527,2032,1167
ENSG00000091879,137,146,27,115,1289,439,58,6,0,0,30,5,4,5,0,12,3,246,831
ENSG00000155189,3502,3493,3555,2874,4230,3936,2041,5741,883,2050,1609,1218,606,633,2090,1905,750,1038,817
ENSG00000275591,16,22,35,17,15,31,3,0,0,0,0,0,0,0,10,4,1,1,15
ENSG00000164825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164821,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000206047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000164816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253958,1,7,0,0,33,8,4,2,1,0,0,1,1,1,3,2,1,2,1
ENSG00000147324,6208,4676,5745,3058,9154,4359,2847,4067,973,1265,2164,1596,776,2227,1836,2747,1416,1467,543
ENSG00000104626,927,991,814,654,1156,1064,909,1897,174,784,756,607,286,381,578,521,884,498,486
ENSG00000173281,2094,1335,982,4185,2870,1184,3502,1470,1480,696,6574,3907,1910,1536,766,922,2441,1738,2781
