Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
A1BG	117	82	110	64	114	68	133	215	57	44	62	49	27	33	80	79	36	117	99
A1BG-AS1	901	1208	1243	591	1894	1115	1153	1741	638	419	748	606	312	385	457	1205	391	909	676
A1CF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	89	467	22	528	592	574	755	260	492	346	120	64	198	253	58	81	287	4	7
A2M-AS1	36	396	577	8	268	538	177	241	63	146	43	7	170	8	2	32	59	25	3
A2ML1	8	6	0	12	39	112	2	0	1	0	1	2	0	2	0	1	2	0	3
A2ML1-AS1	2	0	3	1	8	2	2	3	0	3	0	2	1	0	0	0	0	1	1
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	6	31	2	30	54	13	2	0	0	0	0	2	0	0	0	1	0	0	1
A3GALT2	10	16	12	35	8	8	41	6	27	5	7	17	1	7	2	3	15	16	27
A4GALT	127	6	7	23	229	22	10	44	3	5	30	218	0	158	5	6	43	121	46
A4GNT	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2594	2111	2489	1782	7432	2958	2213	5423	1373	1868	1210	1884	925	1822	1279	2559	1109	3005	759
AACS	533	236	163	329	1635	992	652	874	424	133	923	373	458	292	393	894	117	714	219
AACSP1	14	1	7	47	67	11	2	3	1	3	0	6	4	1	0	0	0	0	0
AADAC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	126	21	6	233	253	72	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	120	109	151	1601	1479	219	1	1	184	0	5	7	0	36	0	4	0	4	0
AAED1	490	104	33	357	219	185	364	417	653	14	155	54	5	106	6	54	70	86	1116
AAGAB	1730	1671	1634	1270	3721	1985	1508	2348	635	1185	1030	1118	332	765	584	1780	591	1584	852
AAK1	4306	3712	1816	4267	3852	2036	9866	10700	5465	2297	4322	3500	1656	2041	2266	4065	2242	5485	3992
AAMDC	243	284	179	161	847	241	301	704	221	214	114	292	155	326	150	312	143	255	52
AAMP	3606	4268	4346	4240	8126	4386	4520	9706	4731	2713	3093	4101	1553	2517	2443	4335	2508	4253	3200
AANAT	2	2	5	10	7	1	4	6	4	1	3	5	2	0	2	3	0	2	1
AAR2	945	1266	1647	1339	2594	1522	1141	2495	862	955	1113	982	426	656	564	1358	716	1740	905
AARD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AARS	5007	6454	12037	3578	11236	7080	2176	15001	1086	7960	1004	2511	1465	2739	3285	6655	1001	2355	512
AARS2	1985	1979	1875	1343	5611	2623	3009	5800	1101	1689	1293	1231	921	1237	982	1806	897	1684	764
AARSD1	204	220	306	133	313	210	165	605	112	158	126	115	68	120	109	150	99	168	53
AARSP1	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AASDH	846	864	1301	489	1511	1028	673	2658	339	887	584	622	444	368	670	1146	407	617	112
AASDHPPT	1713	2469	2270	2339	2804	2627	1039	3981	580	1470	1732	1325	327	629	741	1322	922	898	271
AASS	2097	2439	3123	2214	5481	1543	3745	2194	1029	1095	2015	1295	909	1365	819	1831	1495	116	762
AATBC	28	9	13	0	7	3	99	842	45	18	52	106	81	51	180	127	78	87	8
AATF	3146	3777	3469	2503	7950	3775	2581	9575	3522	1598	2431	3879	1570	3010	2091	4286	1975	4240	1614
AATK	238	59	259	41	167	1516	8	9	27	5	16	10	27	16	4	24	6	4	1
AATK-AS1	4	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.3	4	1	1	3	0	0	0	0	4	0	0	0	1	0	1	1	0	1	0
AB019438.66	6	5	5	30	384	13	0	0	0	1	0	0	0	0	0	1	0	8	1
AB019440.50	7	4	0	0	1	1	0	12	0	9	2	3	0	4	2	5	0	9	1
AB019441.29	88	160	32	105	327	115	85	136	151	53	91	122	46	102	50	67	54	257	134
ABALON	12	8	9	12	19	4	3	5	3	2	3	2	3	5	3	5	0	5	1
ABAT	1061	1200	1950	1058	2007	824	944	817	450	386	458	590	269	326	299	644	348	516	192
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-49244600F4.4	10	4	25	9	15	0	1	16	5	6	2	1	2	1	1	7	3	2	2
ABC14-1188822O7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42404400C24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42418200C9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-43041300I9.1	5	4	1	3	4	2	1	5	0	1	2	0	1	3	1	1	3	3	0
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-481722F1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC8-43014700C16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	4182	1821	1601	1357	3235	2301	7392	2561	1465	540	4048	1279	699	271	712	626	855	589	7848
ABCA10	34	6	11	28	2	4	15	27	1	0	3	5	2	5	3	5	1	2	2
ABCA11P	153	87	123	26	61	85	23	170	7	36	12	10	19	3	43	22	6	12	5
ABCA12	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0
ABCA13	1619	390	1020	13473	4428	409	1	4	0	0	1	3	1	15	0	8	2	47	213
ABCA17P	4	1	5	11	21	8	4	13	10	3	2	4	3	1	4	3	0	5	2
ABCA2	6729	2704	5652	11169	10137	2592	39643	28903	25573	18672	66314	15996	11557	9801	9762	10067	12082	8880	4356
ABCA3	424	67	1035	215	269	70	186	355	269	196	54	57	60	41	124	135	14	87	150
ABCA4	446	1491	78	204	2384	647	53	4	7	12	32	4	17	10	3	83	5	6	0
ABCA5	779	231	215	306	207	179	641	456	134	23	102	123	106	145	11	129	45	48	14
ABCA6	6	1	2	1	5	1	1	5	1	1	0	2	0	0	0	5	0	1	0
ABCA7	4856	2728	1803	3484	15183	5044	5134	8755	3927	5383	4177	2977	1643	3824	1906	7270	1611	5023	739
ABCA8	0	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCA9	9	453	1	232	11	512	1	1	1	0	0	1	0	2	0	0	0	1	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	527	130	113	138	126	73	150	41	27	24	64	78	12	99	18	237	27	26	10
ABCB10	2576	2014	2159	1586	3608	1871	2454	3070	560	952	1558	2682	475	4433	1370	1470	1255	2207	1196
ABCB10P1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
ABCB10P3	3	1	1	0	0	1	3	3	0	0	1	0	1	5	1	2	0	0	0
ABCB10P4	0	2	0	0	1	0	0	1	2	0	2	0	0	2	0	2	0	0	1
ABCB11	0	2	12	1	0	0	7	122	5	0	2	10	3	0	0	0	12	0	2
ABCB4	43	75	16	207	285	17	1352	1915	659	1164	407	504	76	67	628	978	408	73	1026
ABCB5	7	0	1	0	12	3	0	4	1	0	0	4	0	30	1	0	6	22	1
ABCB6	72	39	35	38	120	71	20	75	14	32	17	28	14	130	18	27	20	95	32
ABCB7	1859	2170	2069	1249	4071	2283	2570	5637	2127	2305	1465	1942	1234	2016	1328	2956	1250	1786	736
ABCB8	2254	1789	1118	1837	5913	2007	3034	3876	1401	2570	1912	1352	874	1256	755	2975	884	2546	777
ABCB9	470	432	673	350	1031	419	556	866	233	240	331	297	187	213	234	363	246	263	126
ABCC1	8182	9040	16582	5938	21718	8796	7947	14154	5212	3580	4294	5212	2162	3666	3464	4831	4074	6309	2760
ABCC10	1952	1451	1525	1106	2931	1403	2486	3155	998	877	1268	1107	575	1011	411	1209	627	1798	383
ABCC11	8	4	2	3	7	2	6	2	0	2	2	3	0	0	3	1	1	2	3
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	114	1	1	0	19	30	2	17	0	0	3	48	0	140	2	2	48	117	8
ABCC2	247	325	267	452	475	180	307	597	127	123	250	427	92	146	133	233	137	517	170
ABCC3	66	10	17	2	2	5	5	0	0	4	2	8	4	2	0	91	0	20	0
ABCC4	898	589	851	591	1432	537	75	126	127	15	42	289	18	490	15	75	92	305	204
ABCC5	12295	6260	9976	3071	25975	5798	5473	10505	2553	2472	2526	3050	1728	3632	2599	3985	2036	3874	829
ABCC5-AS1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	14	0	21	0	23	0	7	15	0	1	4	1	2	6	2	3	3	4	0
ABCC6P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC8	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	2	0	28	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	1933	2202	1649	2494	2460	1353	2659	4134	1004	704	1420	2108	886	911	926	1985	1030	1277	251
ABCD1P2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCD1P3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCD1P4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ABCD2	189	278	77	217	18	57	57	94	32	22	39	45	18	36	10	108	24	20	2
ABCD3	1402	1604	1452	907	1946	1760	1419	2075	389	928	710	412	313	337	492	961	419	1125	339
ABCD4	5967	6712	7758	4485	18866	7751	11448	17251	4733	6892	8453	4554	3345	4125	3223	7892	3987	4096	1284
ABCE1	3418	3811	4423	2406	4864	4057	3976	10227	2923	3858	4022	2951	1400	1592	3159	2894	2389	3033	3962
ABCF1	3444	3625	4365	3797	7574	4380	9881	13121	7956	4219	7103	9312	1930	5064	2076	3397	4608	6134	4424
ABCF2	2123	1920	2600	1090	6205	2613	1276	4782	1007	2610	879	1461	667	1380	1220	2382	776	2364	1268
ABCF2P1	0	1	0	4	7	2	0	3	1	0	0	0	0	0	0	1	1	1	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	3358	2941	4720	5707	7420	3352	4464	4734	2338	1591	4162	3659	1326	1718	1215	2515	2171	4364	1748
ABCG1	2689	576	3170	768	4370	730	1789	3532	2238	1008	3298	2396	268	1039	905	283	1336	2274	4991
ABCG2	1022	1420	1930	604	904	1172	74	171	87	164	48	214	8	279	79	263	117	610	123
ABCG4	0	1	0	7	4	3	4	9	5	2	13	3	2	3	4	7	3	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	60	11	15	54	27	38	11	68	30	9	37	9	22	9	10	17	12	10	6
ABHD10	2758	4028	3512	2678	5970	4174	1136	3791	242	1338	1146	508	409	330	860	1585	529	863	165
ABHD11	173	149	159	161	415	173	171	284	54	80	118	53	33	82	56	148	50	205	48
ABHD11-AS1	0	1	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0
ABHD12	902	1017	729	815	1853	1106	1420	2217	861	810	677	1235	469	1018	618	1387	670	1555	649
ABHD12B	7	0	1	1	7	4	1	1147	1499	905	13	4	0	4	42	172	4	1	0
ABHD13	2561	2072	2634	4267	1516	1475	4220	3464	2809	1603	5695	3198	903	954	1649	1891	3081	1990	1263
ABHD14A	54	29	86	24	106	71	52	83	43	37	23	32	13	38	28	58	7	94	13
ABHD14A-ACY1	1	3	1	0	3	0	0	2	0	1	0	0	0	0	0	1	0	1	0
ABHD14B	2044	1723	3416	1051	4133	2487	1966	4624	2305	1703	1581	2302	619	2372	1263	2043	1178	3627	1223
ABHD15	2347	2251	1280	1264	3640	2698	2681	5680	676	1339	1401	1852	706	1421	2067	3312	949	1264	314
ABHD15-AS1	1	0	0	1	5	0	6	1	6	1	4	3	2	9	1	1	3	11	2
ABHD16A	239	248	334	447	490	253	1026	615	508	260	706	698	207	365	164	224	559	420	409
ABHD16B	0	2	2	0	2	0	2	2	1	0	0	0	0	0	0	0	0	0	0
ABHD17A	7645	4775	4420	4573	10390	4719	7864	8673	2837	2193	3495	4997	1635	3277	1799	6552	2832	5891	2197
ABHD17AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABHD17AP3	4	7	0	4	17	1	2	7	5	0	3	8	1	2	1	6	3	11	1
ABHD17AP4	1	2	1	6	4	3	19	30	0	1	2	2	1	0	0	1	9	7	4
ABHD17AP5	10	10	1	13	111	10	53	40	3	31	20	11	3	27	9	118	23	143	25
ABHD17AP6	2	7	2	2	4	8	7	15	4	3	3	6	0	3	0	6	1	9	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	10246	10104	9123	13577	9515	9850	13693	21969	5087	6821	21648	9541	3891	3796	4627	5420	5688	3691	1819
ABHD17C	84	48	20	296	66	82	2768	1988	985	402	2203	2889	327	280	10	231	282	156	635
ABHD18	2237	1987	2481	1652	2123	1654	2618	4574	1153	1185	1383	1285	616	591	968	1382	1014	1221	432
ABHD2	4399	5344	4383	1659	6746	4031	3163	8866	1167	2352	1478	1989	1129	1526	2288	5307	1035	1538	896
ABHD3	10261	8601	10138	4823	28419	11330	1409	3228	1146	1602	1318	979	522	773	1362	2180	606	945	456
ABHD4	979	551	707	709	1051	1009	804	2132	366	1112	1473	981	414	778	675	1171	672	1196	361
ABHD5	378	249	228	363	554	217	316	506	161	223	252	443	76	596	117	295	248	443	206
ABHD6	398	444	564	197	911	853	63	129	31	57	32	14	18	21	51	212	10	19	72
ABHD8	737	823	411	464	2100	911	910	2058	317	575	361	535	403	422	473	1198	365	346	72
ABI1	7102	8537	9666	9084	9307	7159	7530	11397	6545	4122	5652	7299	1702	3678	3399	3495	3645	5592	6453
ABI2	3144	4556	3460	2768	4466	3183	3495	5590	2581	1386	1544	1737	951	1034	1241	2793	1440	1563	1624
ABI3	418	211	86	141	350	305	224	1190	229	417	144	303	196	347	197	437	130	257	85
ABI3BP	2	0	2	0	2	0	0	0	0	0	1	1	0	1	0	1	0	1	0
ABL1	5211	5011	4207	4864	11658	6409	9016	12812	4109	3328	7256	7101	1928	3381	2695	4826	4572	6938	4921
ABL2	2906	3114	2816	3022	3617	2115	3299	5190	2028	1200	1586	1660	696	730	1013	2071	1226	1539	871
ABLIM1	2671	2787	1859	1881	2017	1168	1861	8475	2912	1736	1405	2843	272	1902	1063	2933	942	491	343
ABLIM2	64	292	17	40	34	411	23	13	3	11	19	5	3	13	10	459	3	49	7
ABLIM3	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0
ABO	78	13	65	2	38	12	6	105	3	18	25	39	6	54	4	45	15	44	14
ABR	7081	5656	4837	4551	8535	3714	3378	12520	3969	1715	4565	14782	2004	1951	3824	6123	5768	4912	1874
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	1807	4151	1113	2039	6413	4158	3189	9179	1687	5055	1902	1124	1054	1511	1292	2160	1195	1294	897
ABT1	1521	1533	1606	2308	2453	1540	2716	3605	1317	1444	2735	2270	753	1455	693	1720	1479	1647	899
ABT1P1	2	0	2	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0
ABTB1	6148	5808	4443	3688	10237	4865	5132	12746	3020	2875	4440	4675	1937	2892	2627	7029	2307	5867	1175
ABTB2	74	24	17	100	126	45	236	65	40	51	75	65	14	27	16	210	47	90	113
AC000032.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC000035.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.10	3	0	2	0	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0
AC000041.8	26	0	30	0	45	0	5	3	0	0	0	0	0	0	1	0	0	22	26
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	28	19	17	29	43	33	15	68	13	44	18	13	17	14	18	53	18	15	3
AC000068.5	112	106	103	55	288	131	33	284	38	106	30	23	18	26	46	110	34	12	13
AC000068.9	74	57	72	36	143	78	30	195	30	65	29	37	16	26	41	83	23	25	2
AC000077.2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	30	25	3	23	92	153	1	58	3	11	3	5	4	7	3	44	0	3	0
AC000081.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	17	51	11	50	149	46	29	30	40	12	46	34	10	31	13	24	18	81	41
AC000095.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.9	40	4	52	140	35	15	59	20	8	10	16	9	7	3	3	22	7	52	9
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	125	73	168	57	76	33	144	162	38	30	24	25	8	15	19	26	12	62	17
AC000123.2	737	587	728	163	187	153	463	868	74	134	143	112	40	59	84	135	98	190	116
AC000123.3	211	158	113	85	140	62	156	281	19	65	70	48	19	34	28	65	32	90	27
AC000123.4	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.4	14	20	8	28	18	11	24	70	36	30	26	23	8	8	34	8	22	3	0
AC001226.7	10	11	9	8	22	9	5	13	19	4	11	6	3	4	4	2	3	7	2
AC002044.1	1	0	1	2	0	0	1	6	0	0	0	0	0	0	0	0	0	3	1
AC002044.3	1	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0
AC002044.4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
AC002056.3	8	22	7	8	17	13	19	15	12	9	19	12	3	6	10	10	9	16	11
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	557	130	668	160	324	132	379	219	66	63	279	248	101	20	64	190	116	82	81
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	1	1	1	0	0	0	4	1	2	0	2	2	0	3	0	0	1	0	2
AC002066.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.5	0	0	0	1	0	1	0	1	1	0	0	3	0	0	0	0	0	1	3
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	34	71	32	69	236	45	30	48	61	20	37	56	17	71	11	39	15	124	60
AC002076.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
AC002116.7	46	61	52	50	181	76	86	143	34	56	41	49	24	31	36	55	33	32	28
AC002116.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002117.1	220	342	444	168	191	231	162	903	200	351	328	202	136	77	392	404	196	359	69
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.5	2	0	1	6	0	0	4	3	2	0	3	0	0	2	0	0	1	0	0
AC002306.1	0	0	3	2	0	0	0	0	0	0	1	2	2	11	0	0	0	0	0
AC002310.10	1	1	0	1	1	3	1	1	0	2	4	0	1	1	1	1	0	0	1
AC002310.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.12	303	245	542	58	964	379	82	443	75	231	49	68	44	88	174	204	35	188	25
AC002310.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.14	6	0	15	14	15	7	8	10	13	8	8	9	3	3	4	10	5	2	1
AC002310.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.7	8	13	22	2	43	22	6	58	2	26	3	1	8	8	7	5	4	5	0
AC002314.4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	4	2	0	24	4	7	13	9	1	3	2	2	0	0	0	2	6	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	1	1	1	0	0	0	1	0	0	0	4	0	5	0	0	1
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.11	2	0	1	2	0	0	0	0	0	2	0	0	1	1	0	0	1	1	1
AC002398.12	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0
AC002398.13	2	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0
AC002398.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002400.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002401.1	1	0	0	0	4	1	3	11	0	2	2	0	0	1	2	2	0	0	1
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.3	0	0	0	0	1	8	6	4	1	0	2	0	2	4	5	0	0	0	0
AC002454.1	130	420	520	470	287	318	242	195	535	202	242	256	71	324	133	275	274	35	226
AC002456.2	73	27	59	94	264	104	48	38	16	73	28	7	13	18	28	22	10	0	2
AC002463.3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	48	54	30	16	137	79	14	93	25	44	11	17	10	21	25	57	10	51	18
AC002472.11	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
AC002480.2	0	2	0	0	0	2	0	1	0	0	0	3	0	2	0	4	0	0	0
AC002480.3	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	2	1	0	0
AC002480.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.5	4	9	4	5	5	6	3	4	0	0	2	2	1	8	0	15	3	2	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC002519.6	6	5	1	6	3	3	3	9	0	4	0	4	0	1	1	5	2	2	2
AC002519.8	101	73	26	34	50	43	40	105	1	14	10	8	12	1	13	5	5	6	0
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.5	3	0	0	10	0	0	13	2	0	1	5	3	0	0	0	0	5	0	0
AC002550.6	21	19	21	11	14	7	4	35	1	7	5	8	2	2	7	5	5	8	7
AC002551.1	3	1	4	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1
AC002553.4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002985.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.6	1	7	8	3	13	9	8	16	3	2	2	1	1	1	0	3	0	4	2
AC003003.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	19	4	16	19	22	6	8	22	3	1	11	7	2	1	0	7	10	10	1
AC003005.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	3	28	3	2	5	1	12	3	6	7	4	8	2	6	0	4	5	16	0
AC003080.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003084.2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003090.1	29	40	21	40	126	52	22	30	14	50	31	6	29	4	99	31	13	131	25
AC003092.1	1	0	1	0	1	0	7	1	1	1	2	3	3	3	0	3	0	3	0
